gene_id,logFC,pvalue,fdr,significant,comparison
DESI2,0.031494101078233416,0.5368187253877494,0.8918591189124434,FALSE,WT_vs_severe
MAPK8IP1,-0.007741296412890205,0.883687090331659,0.9765079297037639,FALSE,WT_vs_severe
CRY2,-0.18927156857242525,0.09939701538005379,0.6171801178245395,FALSE,WT_vs_severe
PEX16,0.054421615120802694,0.356511479168388,0.8338510902409836,FALSE,WT_vs_severe
CAT,0.15920776496550368,0.038617968977591226,0.5036339051286952,FALSE,WT_vs_severe
PILRB,-0.17995724117459194,0.03499419751381367,0.4855727359551142,FALSE,WT_vs_severe
ZMYM2,-0.012270308429006846,0.828191384685989,0.9670058391723888,FALSE,WT_vs_severe
TBC1D15,0.04294977002420356,0.5051056375458653,0.881655661328067,FALSE,WT_vs_severe
ADGRB2,-0.12214157130814494,0.024261496866784173,0.4378254025903885,FALSE,WT_vs_severe
ZCCHC17,0.05054072130851207,0.34172426940307,0.8264969798862792,FALSE,WT_vs_severe
KHDRBS1,0.032225039426773114,0.356350152452501,0.8338510902409836,FALSE,WT_vs_severe
TMEM39B,-0.012920079911542448,0.7478059462523421,0.9489470766904223,FALSE,WT_vs_severe
POLR3GL,0.022458757224859044,0.6544428864185237,0.9298422809408489,FALSE,WT_vs_severe
ZNF639,0.08328981512735047,0.16943969438330977,0.7055464154352373,FALSE,WT_vs_severe
